,title,year,genre,description,score,soup
2342,widows,2018,"crime, drama, thriller","Set in contemporary Chicago, amid a time of turmoil, four women with nothing in common except a debt left behind by their dead husbands' criminal activities, take fate into their own hands, and conspire to forge a future on their own terms.",6.422093433075955,"widows english, spanish, polish steve mcqueen crime, drama, thriller viola davis, liam neeson, jon bernthal, manuel garcia-rulfo, coburn goss, michelle rodriguez, alejandro verdin, bailey rhyse walters, elizabeth debicki, carrie coon, robert duvall, colin farrell, molly kunz, james vincent meredith, brian tyree henry"
2343,the vvitch: a new-england folktale,2015,"drama, horror, mystery","A family in 1630s New England is torn apart by the forces of witchcraft, black magic, and possession.",6.5415774621947005,"the vvitch: a new-england folktale english robert eggers drama, horror, mystery anya taylor-joy, ralph ineson, kate dickie, harvey scrimshaw, ellie grainger, lucas dawson, julian richings, bathsheba garnett, sarah stephens, daniel malik, axtun henry dube, athan conrad dube, viv moore, karen kaeja, brandy leary"
2344,the founder,2016,"biography, drama, history",The story of,6.685594301109011,"the founder english, yiddish john lee hancock biography, drama, history michael keaton, nick offerman, john carroll lynch, linda cardellini, b.j. novak, laura dern, justin randell brooke, kate kneeland, patrick wilson, griff furst, wilbur fitzgerald, david de vries, andrew benator, cara mantella, randall taylor"
2345,the circle,2017,"drama, sci-fi, thriller","A woman lands a dream job at a powerful tech company called the Circle, only to uncover an agenda that will affect the lives of all of humanity.",5.601858759976517,"the circle english james ponsoldt drama, sci-fi, thriller emma watson, ellar coltrane, glenne headly, bill paxton, karen gillan, tom hanks, beck, nate corddry, mamoudou athie, roger joseph manning jr., joey waronker, michael shuman, nick valensi, john boyega, regina saldivar"
2346,kubo and the two strings,2016,"animation, action, adventure",A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,7.066429802347684,"kubo and the two strings english travis knight animation, action, adventure art parkinson, charlize theron, brenda vaccaro, cary-hiroyuki tagawa, meyrick murphy, george takei, rooney mara, ralph fiennes, matthew mcconaughey, minae noji, alpha takahashi, laura miro, ken takemoto, aaron aoki, luke donaldson"
2347,john wick: chapter 2,2017,"action, crime, thriller","After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",7.2178134962371425,"john wick: chapter 2 english, italian, russian chad stahelski action, crime, thriller keanu reeves, riccardo scamarcio, ian mcshane, ruby rose, common, claudia gerini, lance reddick, laurence fishburne, tobias segal, john leguizamo, bridget moynahan, thomas sadoski, erik frandsen, david patrick kelly, perry yung"
2348,neighbors 2: sorority rising,2016,comedy,"When their new next-door neighbors turn out to be a sorority even more debaucherous than the fraternity previously living there, Mac and Kelly team with their former enemy, Teddy, to bring the girls down.",5.790154207677334,"neighbors 2: sorority rising english nicholas stoller comedy seth rogen, zac efron, rose byrne, chloë grace moretz, ike barinholtz, kiersey clemons, dave franco, jerrod carmichael, christopher mintz-plasse, beanie feldstein, clara mamet, awkwafina, selena gomez, hannibal buress, elise vargas"
2349,fifty shades darker,2017,"drama, romance","While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",5.2020709764837205,"fifty shades darker english james foley drama, romance dakota johnson, jamie dornan, eric johnson, eloise mumford, bella heathcote, rita ora, luke grimes, victor rasuk, max martini, bruce altman, kim basinger, marcia gay harden, andrew airlie, robinne lee, amy price-francis"
2350,gifted,2017,drama,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",6.853543379028661,"gifted english marc webb drama chris evans, mckenna grace, lindsay duncan, octavia spencer, jenny slate, michael kendall kaplan, john m. jackson, glenn plummer, john finn, elizabeth marvel, candace b. harris, jon sklaroff, jona xiao, julie ann emery, keir o'donnell"
2351,maze runner: the death cure,2018,"action, sci-fi, thriller","Young hero Thomas embarks on a mission to find a cure for a deadly disease known as ""The Flare"".",6.08527441793141,"maze runner: the death cure english wes ball action, sci-fi, thriller dylan o'brien, ki hong lee, kaya scodelario, thomas brodie-sangster, dexter darden, will poulter, jacob lofland, rosa salazar, giancarlo esposito, patricia clarkson, aidan gillen, barry pepper, nathalie emmanuel, katherine mcnamara, walton goggins"
2352,why him?,2016,comedy,A holiday gathering threatens to go off the rails when Ned Fleming realizes that his daughter's Silicon Valley millionaire boyfriend is about to pop the question.,6.082178104844697,"why him? english, khmer john hamburg comedy zoey deutch, james franco, tangie ambrose, cedric the entertainer, bob stephenson, bryan cranston, megan mullally, zack pearlman, griffin gluck, jee young han, mary pat gleason, juliette b. reiss, melissa graver, steffen dziczek, jimmy badstibner"
2353,nocturnal animals,2016,"drama, thriller","A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",7.111348812783889,"nocturnal animals english tom ford drama, thriller amy adams, jake gyllenhaal, michael shannon, aaron taylor-johnson, isla fisher, ellie bamber, armie hammer, karl glusman, robert aramayo, laura linney, andrea riseborough, michael sheen, bobbi salvör menuez, imogen waterhouse, franco vega"
2354,darkest hour,2017,"biography, drama, history","In May 1940, the fate of Western Europe hangs on British Prime Minister",6.921077992769367,"darkest hour english, french, german joe wright biography, drama, history gary oldman, kristin scott thomas, ben mendelsohn, lily james, ronald pickup, stephen dillane, nicholas jones, samuel west, david schofield, richard lumsden, malcolm storry, hilton mcrae, benjamin whitrow, joe armstrong, adrian rawlins"
2355,patriots day,2016,"action, crime, drama","The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.",6.708092793350871,"patriots day english, chinese, arabic peter berg action, crime, drama mark wahlberg, dicky eklund jr., michael marchand, rhet kidd, john goodman, frank czarnowski, christopher o'shea, rachel brosnahan, jake picking, lana condor, jerry dwyer jr., patrick wensing, michael chuah, sang-bae kim, michelle monaghan"
2356,the fate of the furious,2017,"action, adventure, thriller","When a mysterious woman seduces Dom into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.",6.490005216271824,"the fate of the furious english, russian f. gary gray action, adventure, thriller vin diesel, jason statham, dwayne johnson, michelle rodriguez, tyrese gibson, ludacris, charlize theron, kurt russell, nathalie emmanuel, luke evans, elsa pataky, kristofer hivju, scott eastwood, patrick st. esprit, janmarco santiago"
2357,spider-man: into the spider-verse,2018,"animation, action, adventure","Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities.",7.8982813649672,"spider-man: into the spider-verse english, spanish bob persichetti, peter ramsey animation, action, adventure shameik moore, jake johnson, hailee steinfeld, mahershala ali, brian tyree henry, lily tomlin, luna lauren velez, zoë kravitz, john mulaney, kimiko glenn, nicolas cage, kathryn hahn, liev schreiber, chris pine, natalie morales"
2358,kingsman: the golden circle,2017,"action, adventure, comedy","When their headquarters are destroyed and the world is held hostage, the Kingsman's journey leads them to the discovery of an allied spy organization in the United States. These two elite secret organizations must band together to defeat a common enemy.",6.604208639190298,"kingsman: the golden circle english, italian, swedish matthew vaughn action, adventure, comedy taron egerton, edward holcroft, gordon alexander, mark strong, hanna alström, calvin demba, thomas turgoose, tobi bakare, julianne moore, keith allen, tom benedict knight, colin firth, michael gambon, sophie cookson, björn granath"
2359,bad moms,2016,comedy,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun and comedic self-indulgence.",6.090395848655608,"bad moms english jon lucas, scott moore comedy mila kunis, kathryn hahn, kristen bell, christina applegate, jada pinkett smith, annie mumolo, oona laurence, emjay anthony, david walton, clark duke, jay hernandez, wendell pierce, leah mckendrick, megan ferguson, lyle brocato"
2360,collateral beauty,2016,"drama, romance","Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.",6.396508440774332,"collateral beauty english david frankel drama, romance will smith, edward norton, kate winslet, michael peña, helen mirren, naomie harris, keira knightley, jacob latimore, ann dowd, liza colón-zayas, natalie gold, kylie rogers, shirley rumierk, alyssa cheatham, benjamin snyder"
2361,it comes at night,2017,"horror, mystery","Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son. Then a desperate young family arrives seeking refuge.",6.065528020079391,"it comes at night english trey edward shults horror, mystery joel edgerton, christopher abbott, carmen ejogo, riley keough, kelvin harrison jr., griffin robert faulkner, david pendleton, mikey, chase joliet, mick o'rourke"
