,title,year,genre,description,score,soup
0,the kid,1921,"comedy, drama, family","The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",7.330762986442037,"the kid english charles chaplin comedy, drama, family carl miller, edna purviance, jackie coogan, charles chaplin"
1,nosferatu,1922,"fantasy, horror",Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,6.9953825640219955,"nosferatu german f.w. murnau fantasy, horror max schreck, gustav von wangenheim, greta schröder, georg h. schnell, ruth landshoff, gustav botz, alexander granach, john gottowt, max nemetz, wolfgang heinz, albert venohr, eric van viele"
2,the gold rush,1925,"adventure, comedy, drama",A prospector goes to the Klondike in search of gold and finds it and more.,7.216280968027329,"the gold rush english charles chaplin adventure, comedy, drama charles chaplin, mack swain, tom murray, henry bergman, malcolm waite, georgia hale"
3,metropolis,1927,"drama, sci-fi","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",7.5382226754529285,"metropolis german fritz lang drama, sci-fi alfred abel, gustav fröhlich, rudolf klein-rogge, fritz rasp, theodor loos, erwin biswanger, heinrich george, brigitte helm"
4,the general,1926,"action, adventure, comedy","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",7.040491257957846,"the general english clyde bruckman, buster keaton action, adventure, comedy marion mack, glen cavender, jim farley, frederick vroom, charles henry smith, frank barnes, joe keaton, mike donlin, tom nawn, buster keaton"
5,city lights,1931,"comedy, drama, romance","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",7.690041100255118,"city lights english charles chaplin comedy, drama, romance virginia cherrill, florence lee, harry myers, al ernest garcia, hank mann, charles chaplin"
6,m - eine stadt sucht einen mörder,1931,"crime, mystery, thriller","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",7.476690777848846,"m - eine stadt sucht einen mörder german fritz lang crime, mystery, thriller peter lorre, ellen widmann, inge landgut, otto wernicke, theodor loos, gustaf gründgens, friedrich gnaß, fritz odemar, paul kemp, theo lingen, rudolf blümner, georg john, franz stein, ernst stahl-nachbaur, gerhard bienert"
7,king kong,1933,"adventure, horror, sci-fi",A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,6.946635149435253,"king kong english merian c. cooper, ernest b. schoedsack adventure, horror, sci-fi fay wray, robert armstrong, bruce cabot, frank reicher, sam hardy, noble johnson, steve clemente, james flavin, king kong"
8,it happened one night,1934,"comedy, romance",A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.,7.128235007061368,"it happened one night english frank capra comedy, romance clark gable, claudette colbert, walter connolly, roscoe karns, jameson thomas, alan hale, arthur hoyt, blanche friderici, charles c. wilson"
9,modern times,1936,"comedy, drama, family",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,7.826749237016834,"modern times english charles chaplin comedy, drama, family charles chaplin, paulette goddard, henry bergman, tiny sandford, chester conklin, hank mann, stanley blystone, al ernest garcia, richard alexander, cecil reynolds, mira mckinney, murdock macquarrie, wilfred lucas, edward lesaint, fred malatesta"
10,snow white and the seven dwarfs,1937,"animation, family, fantasy","Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",7.108627736901754,"snow white and the seven dwarfs english william cottrell, david hand animation, family, fantasy roy atwell, stuart buchanan, adriana caselotti, eddie collins, pinto colvig, marion darlington, billy gilbert, otis harlan, lucille la verne, james macdonald, scotty mattraw, moroni olsen, purv pullen, harry stockwell"
11,gone with the wind,1939,"drama, history, romance",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,7.651364637495759,"gone with the wind english victor fleming, george cukor drama, history, romance thomas mitchell, barbara o'neil, vivien leigh, evelyn keyes, ann rutherford, george reeves, fred crane, hattie mcdaniel, oscar polk, butterfly mcqueen, victor jory, everett brown, howard hickman, alicia rhett, leslie howard"
12,mr. smith goes to washington,1939,"comedy, drama","A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",7.20507541557183,"mr. smith goes to washington english frank capra comedy, drama jean arthur, james stewart, claude rains, edward arnold, guy kibbee, thomas mitchell, eugene pallette, beulah bondi, h.b. warner, harry carey, astrid allwyn, ruth donnelly, grant mitchell, porter hall, h.v. kaltenborn"
13,the wizard of oz,1939,"adventure, family, fantasy",Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.,7.659849389282656,"the wizard of oz english victor fleming, george cukor adventure, family, fantasy judy garland, frank morgan, ray bolger, bert lahr, jack haley, billie burke, margaret hamilton, charley grapewin, pat walshe, clara blandick, terry, the singer midgets"
14,fantasia,1940,"animation, family, fantasy",A collection of animated interpretations of great works of Western classical music.,6.943288783658016,"fantasia english james algar, samuel armstrong animation, family, fantasy leopold stokowski, deems taylor"
15,the grapes of wrath,1940,"drama, history","A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.",7.046076128344221,"the grapes of wrath english john ford drama, history henry fonda, jane darwell, john carradine, charley grapewin, dorris bowdon, russell simpson, o.z. whitehead, john qualen, eddie quillan, zeffie tilbury, frank sully, frank darien, darryl hickman, shirley mills, roger imhof"
16,the great dictator,1940,"comedy, drama, war",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,7.797043354604747,"the great dictator english, esperanto charles chaplin comedy, drama, war charles chaplin, jack oakie, reginald gardiner, henry daniell, billy gilbert, grace hayle, carter dehaven, paulette goddard, maurice moscovitch, emma dunn, bernard gorcey, paul weigel, chester conklin, esther michelson, hank mann"
17,pinocchio,1940,"animation, comedy, family","A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",6.856715972842149,"pinocchio english norman ferguson, t. hee animation, comedy, family mel blanc, don brodie, stuart buchanan, walter catlett, marion darlington, frankie darro, cliff edwards, dickie jones, charles judels, john mcleish, patricia page, christian rub, evelyn venable"
18,rebecca,1940,"drama, mystery, romance",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,7.269524823249846,"rebecca english, french alfred hitchcock drama, mystery, romance laurence olivier, joan fontaine, george sanders, judith anderson, nigel bruce, reginald denny, c. aubrey smith, gladys cooper, florence bates, melville cooper, leo g. carroll, leonard carey, lumsden hare, edward fielding, philip winter"
19,citizen kane,1941,"drama, mystery","Following the death of publishing tycoon, Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",7.923426226805138,"citizen kane english, italian orson welles drama, mystery joseph cotten, dorothy comingore, agnes moorehead, ruth warrick, ray collins, erskine sanford, everett sloane, william alland, paul stewart, george coulouris, fortunio bonanova, gus schilling, philip van zandt, georgia backus, harry shannon"
20,dumbo,1941,"animation, drama, family","Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.",6.70738263687976,"dumbo english samuel armstrong, norman ferguson animation, drama, family herman bing, billy bletcher, edward brophy, hall johnson choir, cliff edwards, verna felton, noreen gammill, eddie holden, sterling holloway, malcolm hutton, james macdonald, harold manley, john mcleish, jack mercer, tony neil"
21,the maltese falcon,1941,"film-noir, mystery","A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.",7.316551109059178,"the maltese falcon english john huston film-noir, mystery humphrey bogart, mary astor, gladys george, peter lorre, barton maclane, lee patrick, sydney greenstreet, ward bond, jerome cowan, elisha cook jr., james burke, murray alper, john hamilton"
22,bambi,1942,"animation, drama, family",The story of a young deer growing up in the forest.,6.79786986293859,"bambi english james algar, samuel armstrong animation, drama, family hardie albright, stan alexander, bobette audrey, peter behn, thelma boardman, janet chapman, jeanne christy, dolyn bramston cook, marion darlington, tim davis, donnie dunagan, sam edwards, ann gillis, otis harlan, eddie holden"
23,casablanca,1942,"drama, romance, war",A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,8.176453571227372,"casablanca english, french, german, italian michael curtiz drama, romance, war humphrey bogart, ingrid bergman, paul henreid, claude rains, conrad veidt, sydney greenstreet, peter lorre, s.z. sakall, madeleine lebeau, dooley wilson, joy page, john qualen, leonid kinskey, curt bois"
24,kate & leopold,2001,"comedy, fantasy, romance",An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.,6.171683546073987,"kate & leopold english, french james mangold comedy, fantasy, romance meg ryan, hugh jackman, liev schreiber, breckin meyer, natasha lyonne, bradley whitford, paxton whitehead, spalding gray, josh stamberg, matthew sussman, charlotte ayanna, philip bosco, andrew jack, stan tracy, kristen schaal"
25,double indemnity,1944,"crime, drama, film-noir",An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,7.476503439828501,"double indemnity english billy wilder crime, drama, film-noir fred macmurray, barbara stanwyck, edward g. robinson, porter hall, jean heather, tom powers, byron barr, richard gaines, fortunio bonanova, john philliber"
26,the big sleep,1946,"crime, film-noir, mystery","Private detective Philip Marlowe is hired by a rich family. Before the complex case is over, he's seen murder, blackmail, and what might be love.",6.945510997972287,"the big sleep english howard hawks crime, film-noir, mystery humphrey bogart, lauren bacall, john ridgely, martha vickers, dorothy malone, peggy knudsen, regis toomey, charles waldron, charles d. brown, bob steele, elisha cook jr., louis jean heydt"
27,it's a wonderful life,1946,"drama, family, fantasy",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,8.170751014003043,"it's a wonderful life english, french frank capra drama, family, fantasy james stewart, donna reed, lionel barrymore, thomas mitchell, henry travers, beulah bondi, frank faylen, ward bond, gloria grahame, h.b. warner, frank albertson, todd karns, samuel s. hinds, mary treen, virginia patton"
28,notorious,1946,"drama, film-noir, romance",A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,7.017522947683216,"notorious english, french, portuguese alfred hitchcock drama, film-noir, romance cary grant, ingrid bergman, claude rains, louis calhern, leopoldine konstantin, reinhold schünzel, moroni olsen, ivan triesault, alexis minotis, wally brown, charles mendl, ricardo costa, e.a. krumschmidt, fay baker"
29,ladri di biciclette,1948,drama,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",7.4773864398474625,"ladri di biciclette italian, english vittorio de sica drama lamberto maggiorani, enzo staiola, lianella carell, elena altieri, gino saltamerenda, giulio chiari, vittorio antonucci, michele sakara, fausto guerzoni, emma druetti, carlo jachino"
30,rope,1948,"crime, drama, mystery",Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.,7.2277558068694425,"rope english alfred hitchcock crime, drama, mystery dick hogan, john dall, farley granger, edith evanson, douglas dick, joan chandler, cedric hardwicke, constance collier, james stewart"
31,the treasure of the sierra madre,1948,"adventure, drama, western",Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,7.295199818358565,"the treasure of the sierra madre english, spanish john huston adventure, drama, western humphrey bogart, walter huston, tim holt, bruce bennett, barton maclane, alfonso bedoya, arturo soto rangel, manuel dondé, josé torvay, margarito luna"
32,the third man,1949,"film-noir, mystery, thriller","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",7.403400185056335,"the third man english, german, russian carol reed film-noir, mystery, thriller joseph cotten, alida valli, orson welles, trevor howard, bernard lee, paul hörbiger, ernst deutsch, siegfried breuer, erich ponto, wilfrid hyde-white, hedwig bleibtreu"
33,all about eve,1950,drama,An ingénue insinuates herself into the lives of an established but aging stage actress and her circle of theater friends.,7.325463890345022,"all about eve english, french joseph l. mankiewicz drama bette davis, anne baxter, george sanders, celeste holm, gary merrill, hugh marlowe, gregory ratoff, barbara bates, marilyn monroe, thelma ritter, walter hampden, randy stuart, craig hill, leland harris, barbara white"
34,cinderella,1950,"animation, family, fantasy","When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq, and from her Fairy Godmother.",6.8307041839662155,"cinderella english clyde geronimi, wilfred jackson animation, family, fantasy ilene woods, eleanor audley, verna felton, claire du brey, rhoda williams, james macdonald, helene stanley, luis van rooten, don barclay, lucille bliss, jeffrey stone, mike douglas, william phipps, marion darlington, earl keen"
35,rashômon,1950,"crime, drama, mystery","The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",7.439598633784563,"rashômon japanese akira kurosawa crime, drama, mystery toshirô mifune, machiko kyô, masayuki mori, takashi shimura, minoru chiaki, kichijirô ueda, noriko honma, daisuke katô"
36,sunset blvd.,1950,"drama, film-noir",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,7.719459129530661,"sunset blvd. english billy wilder drama, film-noir william holden, gloria swanson, erich von stroheim, nancy olson, fred clark, lloyd gough, jack webb, franklyn farnum, larry j. blake, charles dayton, cecil b. demille, hedda hopper, buster keaton, anna q. nilsson, h.b. warner"
37,alice in wonderland,1951,"animation, adventure, family",Alice stumbles into the world of Wonderland. Will she get home? Not if the Queen of Hearts has her way.,6.854999873202619,"alice in wonderland english clyde geronimi, wilfred jackson animation, adventure, family kathryn beaumont, ed wynn, richard haydn, sterling holloway, jerry colonna, verna felton, j. pat o'malley, bill thompson, heather angel, joseph kearns, larry grey, queenie leonard, dink trout, doris lloyd, james macdonald"
38,the day the earth stood still,1951,"drama, sci-fi",An alien lands and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.,6.833130069521035,"the day the earth stood still english, french, hindi, russian robert wise drama, sci-fi michael rennie, patricia neal, hugh marlowe, sam jaffe, billy gray, frances bavier, lock martin"
39,strangers on a train,1951,"crime, film-noir, thriller",A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.,7.220550169321584,"strangers on a train english, french alfred hitchcock crime, film-noir, thriller farley granger, ruth roman, robert walker, leo g. carroll, patricia hitchcock, kasey rogers, marion lorne, jonathan hale, howard st. john, john brown, norma varden, robert gist"
40,a streetcar named desire,1951,drama,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,7.110106937357213,"a streetcar named desire english, spanish elia kazan drama vivien leigh, marlon brando, kim hunter, karl malden, rudy bond, nick dennis, peg hillias, wright king, richard garrick, ann dere, edna thomas, mickey kuhn"
41,high noon,1952,"drama, thriller, western","A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.",7.046419181588187,"high noon english, spanish fred zinnemann drama, thriller, western gary cooper, thomas mitchell, lloyd bridges, katy jurado, grace kelly, otto kruger, lon chaney jr., harry morgan, ian macdonald, eve mcveagh, morgan farley, harry shannon, lee van cleef, robert j. wilke, sheb wooley"
42,singin' in the rain,1952,"comedy, musical, romance",A silent film production company and cast make a difficult transition to sound.,7.6898417026940376,"singin' in the rain english stanley donen, gene kelly comedy, musical, romance gene kelly, donald o'connor, debbie reynolds, jean hagen, millard mitchell, cyd charisse, douglas fowley, rita moreno"
43,peter pan,1953,"animation, adventure, family","Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan.",6.782564128766234,"peter pan english, american sign language clyde geronimi, wilfred jackson animation, adventure, family bobby driscoll, kathryn beaumont, hans conried, bill thompson, heather angel, paul collins, tommy luske, candy candido, tom conway, roland dupree, don barclay"
44,roman holiday,1953,"comedy, romance",A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,7.233611726659827,"roman holiday english, italian, german william wyler comedy, romance gregory peck, audrey hepburn, eddie albert, hartley power, harcourt williams, margaret rawlings, tullio carminati, paolo carlini, claudio ermelli, paola borboni, alfredo rizzo, laura solari, gorella gori"
45,dial m for murder,1954,"crime, thriller",A tennis player frames his unfaithful wife for first-degree murder after she inadvertently hinders his plan to kill her.,7.456454380165809,"dial m for murder english alfred hitchcock crime, thriller ray milland, grace kelly, robert cummings, john williams, anthony dawson, leo britt, patrick allen, george leigh, george alderson, robin hughes"
46,on the waterfront,1954,"crime, drama, thriller",An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,7.344764929220032,"on the waterfront english elia kazan crime, drama, thriller marlon brando, karl malden, lee j. cobb, rod steiger, pat henning, leif erickson, james westerfield, tony galento, tami mauriello, john f. hamilton, john heldabrand, rudy bond, don blackman, arthur keegan, abe simon"
47,rear window,1954,"mystery, thriller",A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,8.039012755583526,"rear window english alfred hitchcock mystery, thriller james stewart, grace kelly, wendell corey, thelma ritter, raymond burr, judith evelyn, ross bagdasarian, georgine darcy, sara berner, frank cady, jesslyn fax, rand harper, irene winston, havis davenport"
48,shichinin no samurai,1954,"action, adventure, drama",A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,8.082508333742256,"shichinin no samurai japanese akira kurosawa action, adventure, drama toshirô mifune, takashi shimura, keiko tsushima, yukiko shimazaki, kamatari fujiwara, daisuke katô, isao kimura, minoru chiaki, seiji miyaguchi, yoshio kosugi, bokuzen hidari, yoshio inaba, yoshio tsuchiya, kokuten kôdô, eijirô tôno"
49,lady and the tramp,1955,"animation, adventure, comedy",The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.,6.773034023338985,"lady and the tramp english clyde geronimi, wilfred jackson animation, adventure, comedy peggy lee, larry roberts, bill baucom, verna felton, george givot, stan freberg, lee millar, barbara luddy, bill thompson, dal mckennon, alan reed, the mellomen"
50,the night of the hunter,1955,"crime, drama, film-noir","A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid $10,000 he'd stolen in a robbery.",7.009809367934027,"the night of the hunter english charles laughton crime, drama, film-noir robert mitchum, shelley winters, lillian gish, james gleason, evelyn varden, peter graves, don beddoe, billy chapin, sally jane bruce, gloria castillo"
51,rebel without a cause,1955,drama,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies.",6.858402195457059,"rebel without a cause english nicholas ray drama james dean, natalie wood, sal mineo, jim backus, ann doran, corey allen, william hopper, rochelle hudson, dennis hopper, edward platt, steffi sidney, marietta canty, virginia brissac, beverly long, ian wolfe"
52,the killing,1956,"crime, drama, film-noir",Crook Johnny Clay assembles a five man team to plan and execute a daring race-track robbery.,7.000802182611908,"the killing english stanley kubrick crime, drama, film-noir sterling hayden, coleen gray, vince edwards, jay c. flippen, ted de corsia, marie windsor, elisha cook jr., joe sawyer, james edwards, timothy carey, kola kwariani, jay adler, tito vuolo, dorothy adams, herbert ellis"
53,the searchers,1956,"adventure, drama, western",An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.,6.9443050183237975,"the searchers english, navajo, spanish john ford adventure, drama, western john wayne, jeffrey hunter, vera miles, ward bond, natalie wood, john qualen, olive carey, henry brandon, ken curtis, harry carey jr., antonio moreno, hank worden, beulah archuletta, walter coy, dorothy jordan"
54,12 angry men,1957,drama,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,8.596715368315982,"12 angry men english sidney lumet drama martin balsam, john fiedler, lee j. cobb, e.g. marshall, jack klugman, edward binns, jack warden, henry fonda, joseph sweeney, ed begley, george voskovec, robert webber"
55,the bridge on the river kwai,1957,"adventure, drama, war","British POWs build a railway bridge across the river Kwai for their Japanese captors, oblivious of the Allies' plans to destroy it.",7.514088601530237,"the bridge on the river kwai english, japanese, thai david lean adventure, drama, war william holden, alec guinness, jack hawkins, sessue hayakawa, james donald, geoffrey horne, andré morell, peter williams, john boxer, percy herbert, harold goodwin, ann sears, heihachirô ôkawa, keiichirô katsumoto, m.r.b. chakrabandhu"
56,paths of glory,1957,"drama, war","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",7.652181758050762,"paths of glory english, german, latin stanley kubrick drama, war kirk douglas, ralph meeker, adolphe menjou, george macready, wayne morris, richard anderson, joe turkel, christiane kubrick, jerry hausner, peter capell, emile meyer, bert freed, kem dibbs, timothy carey, fred bell"
57,det sjunde inseglet,1957,"drama, fantasy","A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",7.468491346574406,"det sjunde inseglet swedish, latin ingmar bergman drama, fantasy gunnar björnstrand, bengt ekerot, nils poppe, max von sydow, bibi andersson, inga gill, maud hansson, inga landgré, gunnel lindblom, bertil anderberg, anders ek, åke fridell, gunnar olsson, erik strandmark"
58,smultronstället,1957,"drama, romance","After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",7.183115169712315,"smultronstället swedish, latin ingmar bergman drama, romance victor sjöström, bibi andersson, ingrid thulin, gunnar björnstrand, jullan kindahl, folke sundquist, björn bjelfvenstam, naima wifstrand, gunnel broström, gertrud fridh, sif ruud, gunnar sjöberg, max von sydow, åke fridell, yngve nordwall"
59,witness for the prosecution,1957,"crime, drama, film-noir",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,7.358091310339004,"witness for the prosecution english, german billy wilder crime, drama, film-noir tyrone power, marlene dietrich, charles laughton, elsa lanchester, john williams, henry daniell, ian wolfe, torin thatcher, norma varden, una o'connor, francis compton, philip tonge, ruta lee"
60,touch of evil,1958,"crime, drama, film-noir","A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.",7.113815868029041,"touch of evil english, spanish orson welles crime, drama, film-noir charlton heston, janet leigh, orson welles, joseph calleia, akim tamiroff, joanna moore, ray collins, dennis weaver, valentin de vargas, mort mills, victor millan, lalo rios, michael sargent, phil harvey, joi lansing"
61,vertigo,1958,"mystery, romance, thriller",A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,7.884802513769624,"vertigo english alfred hitchcock mystery, romance, thriller james stewart, kim novak, barbara bel geddes, tom helmore, henry jones, raymond bailey, ellen corby, konstantin shayne, lee patrick"
62,ben-hur,1959,"adventure, drama, history","When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",7.5471040285636395,"ben-hur english william wyler adventure, drama, history charlton heston, jack hawkins, haya harareet, stephen boyd, hugh griffith, martha scott, cathy o'donnell, sam jaffe, finlay currie, frank thring, terence longdon, george relph, andré morell"
63,north by northwest,1959,"adventure, mystery, thriller",A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,7.822831148217513,"north by northwest english, french alfred hitchcock adventure, mystery, thriller cary grant, eva marie saint, james mason, jessie royce landis, leo g. carroll, josephine hutchinson, philip ober, martin landau, adam williams, edward platt, robert ellenstein, les tremayne, philip coolidge, patrick mcvey, edward binns"
64,les quatre cents coups,1959,"crime, drama","A young boy, left without attention, delves into a life of petty crime.",7.176354648061963,"les quatre cents coups french, english françois truffaut crime, drama jean-pierre léaud, claire maurier, albert rémy, guy decomble, georges flamant, patrick auffay, daniel couturier, françois nocher, richard kanayan, renaud fontanarosa, michel girard, serge moati, bernard abbou, jean-françois bergouignan, michel lesignor"
65,sleeping beauty,1959,"animation, family, fantasy","After being snubbed by the royal family, a malevolent fairy places a curse on a princess which only a prince can break, along with the help of three good fairies.",6.744248661817503,"sleeping beauty english clyde geronimi animation, family, fantasy mary costa, bill shirley, eleanor audley, verna felton, barbara luddy, barbara jo allen, taylor holmes, bill thompson"
66,some like it hot,1959,"comedy, music, romance","When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",7.662553049697907,"some like it hot english billy wilder comedy, music, romance marilyn monroe, tony curtis, jack lemmon, george raft, pat o'brien, joe e. brown, nehemiah persoff, joan shawlee, billy gray, george e. stone, dave barry, mike mazurki, harry wilson, beverly wills, barbara drew"
67,the apartment,1960,"comedy, drama, romance","A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",7.540197463279465,"the apartment english billy wilder comedy, drama, romance jack lemmon, shirley maclaine, fred macmurray, ray walston, jack kruschen, david lewis, hope holiday, joan shawlee, naomi stevens, johnny seven, joyce jameson, willard waterman, david white, edie adams"
68,the magnificent seven,1960,"action, adventure, western",Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.,6.884643887063628,"the magnificent seven english, spanish john sturges action, adventure, western yul brynner, eli wallach, steve mcqueen, horst buchholz, charles bronson, robert vaughn, brad dexter, james coburn, jorge martínez de hoyos, vladimir sokoloff, rosenda monteros, rico alaniz, pepe hern, natividad vacío, mario navarro"
69,psycho,1960,"horror, mystery, thriller","A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",8.211360399400105,"psycho english alfred hitchcock horror, mystery, thriller anthony perkins, vera miles, john gavin, janet leigh, martin balsam, john mcintire, simon oakland, frank albertson, patricia hitchcock, vaughn taylor, lurene tuttle, john anderson, mort mills"
70,spartacus,1960,"adventure, biography, drama",The slave Spartacus leads a violent revolt against the decadent Roman Republic.,7.155589410151736,"spartacus english stanley kubrick adventure, biography, drama kirk douglas, laurence olivier, jean simmons, charles laughton, peter ustinov, john gavin, nina foch, john ireland, herbert lom, john dall, charles mcgraw, joanna barnes, harold j. stone, woody strode, peter brocco"
71,breakfast at tiffany's,1961,"comedy, drama, romance","A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.",7.146158186547977,"breakfast at tiffany's english, portuguese, french, japanese blake edwards comedy, drama, romance audrey hepburn, george peppard, patricia neal, buddy ebsen, martin balsam, josé luis de vilallonga, john mcgiver, dorothy whitney, stanley adams, elvia allman, alan reed, beverly powers, claude stroud, orangey, mickey rooney"
72,the hustler,1961,"drama, sport",An up-and-coming pool player plays a long-time champion in a single high-stakes match.,6.974132068000609,"the hustler english robert rossen drama, sport paul newman, jackie gleason, piper laurie, george c. scott, myron mccormick, murray hamilton, michael constantine, stefan gierasch, clifford a. pellow, jake lamotta, gordon b. clarke, alexander rose, carolyn coates, carl york, vincent gardenia"
73,one hundred and one dalmatians,1961,"animation, adventure, comedy","When a litter of Dalmatian puppies are abducted by the minions of Cruella de Vil, the parents must find them before she uses them for a diabolical fashion statement.",6.77840664432654,"one hundred and one dalmatians english clyde geronimi, hamilton luske animation, adventure, comedy rod taylor, j. pat o'malley, betty lou gerson, martha wentworth, ben wright, cate bauer, david frankham, frederick worlock, lisa davis, tom conway, tudor owen, george pelling, ramsay hill, sylvia marriott, queenie leonard"
74,west side story,1961,"crime, drama, musical","Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",6.810355738374664,"west side story english, spanish jerome robbins, robert wise crime, drama, musical natalie wood, richard beymer, russ tamblyn, rita moreno, george chakiris, simon oakland, ned glass, william bramley, tucker smith, tony mordente, david winters, eliot feld, bert michaels, david bean, robert banas"
75,yôjinbô,1961,"action, drama, thriller",A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,7.269661164855929,"yôjinbô japanese akira kurosawa action, drama, thriller toshirô mifune, tatsuya nakadai, yôko tsukasa, isuzu yamada, daisuke katô, seizaburô kawazu, takashi shimura, hiroshi tachikawa, yôsuke natsuki, eijirô tôno, kamatari fujiwara, ikio sawamura, atsushi watanabe, susumu fujita, kyû sazanka"
76,dr. no,1962,"action, adventure, thriller",A resourceful British government agent seeks answers in a case involving the disappearance of a colleague and the disruption of the American space program.,6.834779029331659,"dr. no english, french terence young action, adventure, thriller sean connery, ursula andress, joseph wiseman, jack lord, bernard lee, anthony dawson, zena marshall, john kitzmiller, eunice gayson, lois maxwell, peter burton, yvonne shima, michel mok, marguerite lewars, william foster-davis"
